,TargetSoundSeg,targetSegOnset,targetSegSize,CorpusSoundSeg,corpusSegOnset,corpusSegSize,DISTANCE_BETWEEN_SEGS
73,ic-demo1.wav-dsr,482452,618,TomHugeLowCSharpKeyS.wav-dsr,22454,17510,0.3230971242839397
74,ic-demo1.wav-tran,490692,618,MetalShaker2S.wav-tran,23072,1442,1.5630107515415284
75,ic-demo1.wav-dsr,491310,7004,Cabassa3S.wav-dsr,24720,4532,0.3278688740057025
76,ic-demo1.wav-tran,537248,1854,MetalShaker2S.wav-tran,23072,1442,0.6654494151041617
77,ic-demo1.wav-dsr,539102,824,Bongo2.wav-dsr,21836,3502,0.4252169012444917
78,ic-demo1.wav-tran,545076,1442,MetalShaker2S.wav-tran,23072,1442,0.6747581971192691
79,ic-demo1.wav-dsr,546518,824,CymbalStrike2S.wav-dsr,24576,219136,0.11089640469748678
80,ic-demo1.wav-tran,559290,618,SnareBrightFSharpKeyS.wav-tran,23072,412,0.7928114533105777
81,ic-demo1.wav-dsr,559908,824,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.3928033043311724
82,ic-demo1.wav-tran,577006,824,MetalShaker2S.wav-tran,23072,1442,0.4532151645876482
83,ic-demo1.wav-dsr,577830,412,SnareSteelAKeyS.wav-dsr,22454,6798,1.0642661206949873
84,ic-demo1.wav-tran,585040,1648,MetalShaker2S.wav-tran,23072,1442,0.5624132823427415
85,ic-demo1.wav-dsr,586688,206,CymbalChoke1S.wav-dsr,22866,16686,1.0133027602525544
86,ic-demo1.wav-tran,602550,1648,MetalShaker2S.wav-tran,23072,1442,1.0246155640600219
87,ic-demo1.wav-dsr,604198,824,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.0724463820529124
88,ic-demo1.wav-tran,618618,824,SnareBrightFSharpKeyS.wav-tran,23072,412,1.1979047813299188
89,ic-demo1.wav-dsr,619442,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.2878604797191773
90,ic-demo1.wav-tran,623974,1648,SnareBrightFSharpKeyS.wav-tran,23072,412,1.1790426144321222
91,ic-demo1.wav-dsr,625622,206,TomHugeLowCSharpKeyS.wav-dsr,22454,17510,0.8140571830695926
92,ic-demo1.wav-tran,634274,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,0.8457650891613697
93,ic-demo1.wav-dsr,635304,618,CongaMuff.wav-dsr,53972,10300,0.8309408414236527
94,ic-demo1.wav-tran,641278,1236,MetalShaker2S.wav-tran,23072,1442,1.0164646236887145
95,ic-demo1.wav-dsr,642514,618,SnareSteelAKeyS.wav-dsr,22454,6798,0.19595040143669215
96,ic-demo1.wav-tran,660230,2060,MetalShaker2S.wav-tran,23072,1442,1.4496599372901895
97,ic-demo1.wav-dsr,662290,1030,SnareSteelAKeyS.wav-dsr,22454,6798,0.6832653500443997
98,ic-demo1.wav-tran,675474,2678,MetalShaker2S.wav-tran,23072,1442,0.4758166843053376
99,ic-demo1.wav-dsr,678152,7622,Bongo1.wav-dsr,24720,2266,0.7675531627869234
100,ic-demo1.wav-tran,742836,1236,MetalShaker2S.wav-tran,23072,1442,1.5380905818776769
101,ic-demo1.wav-dsr,744072,412,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.046584773709629
102,ic-demo1.wav-tran,747162,2266,MetalShaker2S.wav-tran,23072,1442,1.2088809900470263
103,ic-demo1.wav-dsr,749428,618,CymbalStrike2S.wav-dsr,24576,219136,0.5131690825498648
104,ic-demo1.wav-tran,766732,1442,MetalShaker2S.wav-tran,23072,1442,2.1306031388731017
105,ic-demo1.wav-dsr,768174,5768,Bongo2.wav-dsr,21836,3502,1.008959076261726
106,ic-demo1.wav-tran,798250,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,1.4484399133852126
107,ic-demo1.wav-dsr,799280,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,2.327573736082793
108,ic-demo1.wav-tran,812052,1442,MetalShaker2S.wav-tran,23072,1442,1.4721722410405602
109,ic-demo1.wav-dsr,813494,2472,Cowbell1S.wav-dsr,25956,9682,0.39937669113204216
110,ic-demo1.wav-tran,816172,2472,MetalShaker2S.wav-tran,23072,1442,1.2424766625329862
111,ic-demo1.wav-dsr,818644,618,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.0748993026090456
112,ic-demo1.wav-tran,826266,1442,MetalShaker2S.wav-tran,23072,1442,1.2144994538733391
113,ic-demo1.wav-dsr,827708,1648,Bongo2.wav-dsr,21836,3502,0.34926686691817543
114,ic-demo1.wav-tran,830592,1236,SnareBrightFSharpKeyS.wav-tran,23072,412,1.1272983903229628
115,ic-demo1.wav-dsr,831828,2060,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.0451139229628923
116,ic-demo1.wav-tran,834300,1648,MetalShaker2S.wav-tran,23072,1442,1.1759351641132094
117,ic-demo1.wav-dsr,835948,1030,Cowbell1S.wav-dsr,25956,9682,0.8201042502116842
118,ic-demo1.wav-tran,850780,2060,MetalShaker2S.wav-tran,23072,1442,1.4042402604216624
119,ic-demo1.wav-dsr,852840,13184,MetalShaker1S.wav-dsr,24102,7828,0.34640521999627394
120,ic-demo1.wav-tran,866230,1442,MetalShaker2S.wav-tran,23072,1442,0.7207002695556934
121,ic-demo1.wav-dsr,867672,9682,CymbalStrike2S.wav-dsr,24576,219136,0.3932016519592604
122,ic-demo1.wav-tran,879002,1236,MetalShaker2S.wav-tran,23072,1442,1.0942259719515086
123,ic-demo1.wav-dsr,880238,618,TomHugeLowCSharpKeyS.wav-dsr,22454,17510,0.4600330373907184
124,ic-demo1.wav-tran,891774,618,SnareBrightFSharpKeyS.wav-tran,23072,412,0.23864080408668356
125,ic-demo1.wav-dsr,892392,824,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.2229701970829316
126,ic-demo1.wav-tran,898366,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,0.5735972064941086
127,ic-demo1.wav-dsr,899396,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.7748544192939967
128,ic-demo1.wav-tran,907636,1648,SnareBrightFSharpKeyS.wav-tran,23072,412,0.8708864003228092
129,ic-demo1.wav-dsr,909284,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.7158269627167955
130,ic-demo1.wav-tran,923704,1442,MetalShaker2S.wav-tran,23072,1442,0.8854920055230177
131,ic-demo1.wav-dsr,925146,618,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.8412361919972591
132,ic-demo1.wav-tran,928648,1442,MetalShaker2S.wav-tran,23072,1442,1.2187432216880585
133,ic-demo1.wav-dsr,930090,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.5872742029822298
134,ic-demo1.wav-tran,954604,618,MetalShaker2S.wav-tran,23072,1442,1.0440241727608277
135,ic-demo1.wav-dsr,955222,1854,Cowbell1S.wav-dsr,25956,9682,0.5643302738147408
136,ic-demo1.wav-tran,962432,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,1.5035847952627066
137,ic-demo1.wav-dsr,963462,412,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.3765730698805836
138,ic-demo1.wav-tran,1013108,1236,SnareBrightFSharpKeyS.wav-tran,23072,412,1.4189664834076798
139,ic-demo1.wav-dsr,1014344,9064,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,2.9447976209284232
140,ic-demo1.wav-tran,1023614,2472,MetalShaker2S.wav-tran,23072,1442,1.7098902577032815
